Time,Humidity,Temperature,HumidifierPower
Sun Mar  3 19:10:58 2019,94.0,26.3,0.0
Sun Mar  3 19:11:01 2019,94.0,26.3,0.0
Sun Mar  3 19:11:02 2019,94.0,26.3,0.0
Sun Mar  3 19:11:02 2019,94.0,26.3,0.0
Sun Mar  3 19:11:05 2019,94.0,26.3,0.0
Sun Mar  3 19:11:06 2019,94.0,26.3,0.0
Sun Mar  3 19:11:07 2019,94.0,26.3,0.0
Sun Mar  3 19:11:07 2019,94.0,26.3,0.0
Sun Mar  3 19:11:08 2019,94.0,26.3,0.0
Sun Mar  3 19:11:08 2019,94.0,26.3,0.0
Sun Mar  3 19:11:09 2019,94.0,26.3,0.0
Sun Mar  3 19:11:10 2019,94.0,26.3,0.0
Sun Mar  3 19:11:10 2019,94.0,26.3,0.0
Sun Mar  3 19:11:11 2019,94.0,26.3,0.0
Sun Mar  3 19:11:11 2019,94.0,26.3,0.0
Sun Mar  3 19:11:12 2019,94.0,26.3,0.0
Sun Mar  3 19:11:13 2019,94.0,26.3,0.0
Sun Mar  3 19:11:13 2019,94.0,26.2,0.0
Sun Mar  3 19:11:14 2019,94.0,26.3,0.0
Sun Mar  3 19:11:17 2019,94.0,26.3,0.0
Sun Mar  3 19:11:18 2019,94.0,26.3,0.0
Sun Mar  3 19:11:18 2019,94.0,26.3,0.0
Sun Mar  3 19:11:19 2019,94.0,26.3,0.0
Sun Mar  3 19:11:19 2019,94.0,26.3,0.0
Sun Mar  3 19:11:20 2019,94.0,26.3,0.0
Sun Mar  3 19:11:21 2019,94.0,26.3,0.0
Sun Mar  3 19:11:21 2019,94.0,26.3,0.0
Sun Mar  3 19:11:22 2019,94.0,26.3,0.0
Sun Mar  3 19:11:25 2019,94.0,26.2,0.0
Sun Mar  3 19:11:25 2019,94.0,26.3,0.0
Sun Mar  3 19:11:26 2019,94.0,26.3,0.0
Sun Mar  3 19:11:27 2019,94.0,26.3,0.0
Sun Mar  3 19:11:30 2019,94.0,26.3,0.0
Sun Mar  3 19:11:30 2019,94.0,26.3,0.0
Sun Mar  3 19:11:31 2019,94.0,26.3,0.0
Sun Mar  3 19:11:32 2019,94.0,26.3,0.0
Sun Mar  3 19:11:32 2019,94.0,26.3,0.0
Sun Mar  3 19:11:33 2019,94.0,26.3,0.0
Sun Mar  3 19:11:33 2019,94.0,26.2,0.0
Sun Mar  3 19:11:34 2019,94.0,26.3,0.0
Sun Mar  3 19:11:35 2019,94.0,26.3,0.0
Sun Mar  3 19:11:35 2019,94.0,26.3,0.0
Sun Mar  3 19:11:36 2019,94.0,26.3,0.0
Sun Mar  3 19:11:36 2019,94.0,26.3,0.0
Sun Mar  3 19:11:37 2019,94.0,26.3,0.0
Sun Mar  3 19:11:40 2019,94.0,26.3,0.0
Sun Mar  3 19:11:41 2019,94.0,26.3,0.0
Sun Mar  3 19:11:41 2019,94.0,26.3,0.0
Sun Mar  3 19:11:42 2019,94.0,26.3,0.0
Sun Mar  3 19:11:42 2019,94.0,26.3,0.0
Sun Mar  3 19:11:46 2019,94.0,26.3,0.0
Sun Mar  3 19:11:46 2019,94.0,26.3,0.0
Sun Mar  3 19:11:47 2019,94.0,26.3,0.0
Sun Mar  3 19:11:47 2019,94.0,26.3,0.0
Sun Mar  3 19:11:48 2019,94.0,26.3,0.0
Sun Mar  3 19:11:49 2019,94.0,26.3,0.0
Sun Mar  3 19:11:49 2019,94.0,26.3,0.0
Sun Mar  3 19:11:50 2019,94.0,26.2,0.0
Sun Mar  3 19:11:50 2019,94.0,26.3,0.0
Sun Mar  3 19:11:51 2019,94.0,26.3,0.0
Sun Mar  3 19:11:52 2019,94.0,26.3,0.0
Sun Mar  3 19:11:52 2019,94.0,26.3,0.0
Sun Mar  3 19:11:55 2019,94.0,26.3,0.0
Sun Mar  3 19:11:56 2019,94.0,26.3,0.0
Sun Mar  3 19:11:56 2019,94.0,26.3,0.0
Sun Mar  3 19:11:57 2019,94.0,26.3,0.0
Sun Mar  3 19:11:58 2019,94.0,26.3,0.0
Sun Mar  3 19:12:01 2019,94.0,26.3,0.0
Sun Mar  3 19:12:01 2019,94.0,26.3,0.0
Sun Mar  3 19:12:02 2019,94.0,26.3,0.0
Sun Mar  3 19:12:03 2019,94.0,26.3,0.0
Sun Mar  3 19:12:03 2019,94.0,26.3,0.0
Sun Mar  3 19:12:04 2019,94.0,26.3,0.0
Sun Mar  3 19:12:04 2019,94.0,26.2,0.0
Sun Mar  3 19:12:05 2019,94.0,26.3,0.0
Sun Mar  3 19:12:06 2019,94.0,26.3,0.0
Sun Mar  3 19:12:06 2019,94.0,26.3,0.0
Sun Mar  3 19:12:07 2019,94.0,26.3,0.0
Sun Mar  3 19:12:07 2019,94.0,26.3,0.0
Sun Mar  3 19:12:08 2019,94.0,26.3,0.0
Sun Mar  3 19:12:09 2019,94.0,26.3,0.0
Sun Mar  3 19:12:09 2019,94.0,26.3,0.0
Sun Mar  3 19:12:10 2019,94.0,26.3,0.0
Sun Mar  3 19:12:10 2019,94.0,26.3,0.0
Sun Mar  3 19:12:11 2019,94.0,26.3,0.0
Sun Mar  3 19:12:11 2019,94.0,26.3,0.0
Sun Mar  3 19:12:12 2019,94.0,26.3,0.0
Sun Mar  3 19:12:13 2019,94.0,26.3,0.0
Sun Mar  3 19:12:16 2019,94.0,26.3,0.0
Sun Mar  3 19:12:16 2019,94.0,26.3,0.0
Sun Mar  3 19:12:17 2019,94.0,26.3,0.0
Sun Mar  3 19:12:18 2019,94.0,26.3,0.0
Sun Mar  3 19:12:18 2019,94.0,26.2,0.0
Sun Mar  3 19:12:21 2019,94.0,26.3,0.0
Sun Mar  3 19:12:22 2019,94.0,26.3,0.0
Sun Mar  3 19:12:23 2019,94.0,26.3,0.0
Sun Mar  3 19:12:23 2019,94.0,26.3,0.0
Sun Mar  3 19:12:24 2019,94.0,26.2,0.0
Sun Mar  3 19:12:24 2019,94.0,26.3,0.0
Sun Mar  3 19:12:25 2019,94.0,26.3,0.0
Sun Mar  3 19:12:26 2019,94.0,26.3,0.0
Sun Mar  3 19:12:26 2019,94.0,26.3,0.0
Sun Mar  3 19:12:27 2019,94.0,26.3,0.0
Sun Mar  3 19:12:27 2019,94.0,26.3,0.0
Sun Mar  3 19:12:28 2019,94.0,26.3,0.0
Sun Mar  3 19:12:29 2019,94.0,26.3,0.0
Sun Mar  3 19:12:29 2019,94.0,26.3,0.0
Sun Mar  3 19:12:30 2019,94.0,26.3,0.0
Sun Mar  3 19:12:30 2019,94.0,26.3,0.0
Sun Mar  3 19:12:31 2019,94.0,26.3,0.0
Sun Mar  3 19:12:32 2019,94.0,26.3,0.0
Sun Mar  3 19:12:32 2019,94.0,26.3,0.0
Sun Mar  3 19:12:33 2019,94.0,26.3,0.0
Sun Mar  3 19:12:33 2019,94.0,26.3,0.0
Sun Mar  3 19:12:34 2019,94.0,26.3,0.0
Sun Mar  3 19:12:34 2019,94.0,26.3,0.0
Sun Mar  3 19:12:38 2019,94.0,26.2,0.0
Sun Mar  3 19:12:38 2019,94.0,26.3,0.0
Sun Mar  3 19:12:39 2019,94.0,26.3,0.0
Sun Mar  3 19:12:39 2019,94.0,26.3,0.0
Sun Mar  3 19:12:40 2019,94.0,26.3,0.0
Sun Mar  3 19:12:41 2019,94.0,26.3,0.0
Sun Mar  3 19:12:41 2019,94.0,26.3,0.0
Sun Mar  3 19:12:42 2019,94.0,26.3,0.0
Sun Mar  3 19:12:42 2019,94.0,26.3,0.0
Sun Mar  3 19:12:46 2019,94.0,26.3,0.0
Sun Mar  3 19:12:49 2019,94.0,26.3,0.0
Sun Mar  3 19:12:49 2019,94.0,26.3,0.0
Sun Mar  3 19:12:50 2019,94.0,26.3,0.0
Sun Mar  3 19:12:51 2019,94.0,26.3,0.0
Sun Mar  3 19:12:51 2019,94.0,26.3,0.0
Sun Mar  3 19:12:52 2019,94.0,26.3,0.0
Sun Mar  3 19:12:52 2019,94.0,26.3,0.0
Sun Mar  3 19:12:55 2019,94.0,26.3,0.0
Sun Mar  3 19:12:59 2019,94.0,26.3,0.0
Sun Mar  3 19:13:02 2019,94.0,26.3,0.0
Sun Mar  3 19:13:02 2019,94.0,26.3,0.0
Sun Mar  3 19:13:03 2019,94.0,26.3,0.0
Sun Mar  3 19:13:04 2019,94.0,26.3,0.0
Sun Mar  3 19:13:04 2019,94.0,26.3,0.0
Sun Mar  3 19:13:05 2019,94.0,26.3,0.0
Sun Mar  3 19:13:05 2019,94.0,26.3,0.0
Sun Mar  3 19:13:06 2019,94.0,26.3,0.0
Sun Mar  3 19:13:06 2019,94.0,26.3,0.0
Sun Mar  3 19:13:10 2019,94.0,26.3,0.0
Sun Mar  3 19:13:10 2019,94.0,26.3,0.0
Sun Mar  3 19:13:11 2019,94.0,26.2,0.0
Sun Mar  3 19:13:11 2019,94.0,26.2,0.0
Sun Mar  3 19:13:12 2019,94.0,26.3,0.0
Sun Mar  3 19:13:13 2019,94.0,26.3,0.0
Sun Mar  3 19:13:13 2019,94.0,26.3,0.0
Sun Mar  3 19:13:14 2019,94.0,26.2,0.0
Sun Mar  3 19:13:14 2019,94.0,26.3,0.0
Sun Mar  3 19:13:15 2019,94.0,26.3,0.0
Sun Mar  3 19:13:16 2019,94.0,26.3,0.0
Sun Mar  3 19:13:16 2019,94.0,26.3,0.0
Sun Mar  3 19:13:17 2019,94.0,26.3,0.0
Sun Mar  3 19:13:17 2019,94.0,26.3,0.0
Sun Mar  3 19:13:18 2019,94.0,26.3,0.0
Sun Mar  3 19:13:19 2019,94.0,26.3,0.0
Sun Mar  3 19:13:19 2019,94.0,26.2,0.0
Sun Mar  3 19:13:20 2019,94.0,26.3,0.0
Sun Mar  3 19:13:20 2019,94.0,26.3,0.0
Sun Mar  3 19:13:21 2019,94.0,26.3,0.0
Sun Mar  3 19:13:21 2019,94.0,26.3,0.0
Sun Mar  3 19:13:22 2019,94.0,26.3,0.0
Sun Mar  3 19:13:23 2019,94.0,26.3,0.0
Sun Mar  3 19:13:23 2019,94.0,26.2,0.0
Sun Mar  3 19:13:24 2019,94.0,26.3,0.0
Sun Mar  3 19:13:24 2019,94.0,26.3,0.0
Sun Mar  3 19:13:25 2019,94.0,26.3,0.0
Sun Mar  3 19:13:26 2019,94.0,26.3,0.0
Sun Mar  3 19:13:26 2019,94.0,26.3,0.0
Sun Mar  3 19:13:29 2019,94.0,26.3,0.0
Sun Mar  3 19:13:30 2019,94.0,26.3,0.0
Sun Mar  3 19:13:31 2019,94.0,26.3,0.0
Sun Mar  3 19:13:31 2019,94.0,26.3,0.0
Sun Mar  3 19:13:32 2019,94.0,26.3,0.0
Sun Mar  3 19:13:32 2019,94.0,26.2,0.0
Sun Mar  3 19:13:33 2019,94.0,26.3,0.0
Sun Mar  3 19:13:34 2019,94.0,26.3,0.0
Sun Mar  3 19:13:34 2019,94.0,26.3,0.0
Sun Mar  3 19:13:35 2019,94.0,26.3,0.0
Sun Mar  3 19:13:35 2019,94.0,26.3,0.0
Sun Mar  3 19:13:36 2019,94.0,26.3,0.0
Sun Mar  3 19:13:37 2019,94.0,26.2,0.0
Sun Mar  3 19:13:37 2019,94.0,26.3,0.0
Sun Mar  3 19:13:38 2019,94.0,26.3,0.0
Sun Mar  3 19:13:38 2019,94.0,26.3,0.0
Sun Mar  3 19:13:39 2019,94.0,26.3,0.0
Sun Mar  3 19:13:40 2019,94.0,26.3,0.0
Sun Mar  3 19:13:40 2019,94.0,26.3,0.0
Sun Mar  3 19:13:41 2019,94.0,26.3,0.0
Sun Mar  3 19:13:41 2019,94.0,26.3,0.0
Sun Mar  3 19:13:42 2019,94.0,26.3,0.0
Sun Mar  3 19:13:43 2019,94.0,26.3,0.0
Sun Mar  3 19:13:43 2019,94.0,26.3,0.0
Sun Mar  3 19:13:44 2019,94.0,26.3,0.0
Sun Mar  3 19:13:47 2019,94.0,26.3,0.0
Sun Mar  3 19:13:47 2019,94.0,26.3,0.0
Sun Mar  3 19:13:48 2019,94.0,26.3,0.0
Sun Mar  3 19:13:49 2019,94.0,26.3,0.0
Sun Mar  3 19:13:49 2019,94.0,26.3,0.0
Sun Mar  3 19:13:50 2019,94.0,26.3,0.0
Sun Mar  3 19:13:50 2019,94.0,26.3,0.0
Sun Mar  3 19:13:51 2019,94.0,26.3,0.0
Sun Mar  3 19:13:52 2019,94.0,26.3,0.0
Sun Mar  3 19:13:55 2019,94.0,26.3,0.0
Sun Mar  3 19:13:55 2019,94.0,26.3,0.0
Sun Mar  3 19:13:56 2019,94.0,26.3,0.0
Sun Mar  3 19:13:57 2019,94.0,26.3,0.0
Sun Mar  3 19:13:57 2019,94.0,26.3,0.0
Sun Mar  3 19:13:58 2019,94.0,26.3,0.0
Sun Mar  3 19:13:58 2019,94.0,26.3,0.0
Sun Mar  3 19:13:59 2019,94.0,26.3,0.0
Sun Mar  3 19:13:59 2019,94.0,26.3,0.0
Sun Mar  3 19:14:00 2019,94.0,26.3,0.0
Sun Mar  3 19:14:01 2019,94.0,26.3,0.0
Sun Mar  3 19:14:04 2019,94.0,26.3,0.0
Sun Mar  3 19:14:04 2019,94.0,26.3,0.0
Sun Mar  3 19:14:05 2019,94.0,26.3,0.0
Sun Mar  3 19:14:06 2019,94.0,26.3,0.0
Sun Mar  3 19:14:06 2019,94.0,26.3,0.0
Sun Mar  3 19:14:07 2019,94.0,26.3,0.0
Sun Mar  3 19:14:07 2019,94.0,26.3,0.0
Sun Mar  3 19:14:08 2019,94.0,26.3,0.0
Sun Mar  3 19:14:09 2019,94.0,26.3,0.0
Sun Mar  3 19:14:09 2019,94.0,26.3,0.0
Sun Mar  3 19:14:10 2019,94.0,26.3,0.0
Sun Mar  3 19:14:10 2019,94.0,26.3,0.0
Sun Mar  3 19:14:11 2019,94.0,26.3,0.0
Sun Mar  3 19:14:12 2019,94.0,26.3,0.0
Sun Mar  3 19:14:12 2019,94.0,26.3,0.0
Sun Mar  3 19:14:13 2019,94.0,26.3,0.0
Sun Mar  3 19:14:13 2019,94.0,26.3,0.0
Sun Mar  3 19:14:14 2019,94.0,26.3,0.0
Sun Mar  3 19:14:15 2019,94.0,26.3,0.0
Sun Mar  3 19:14:15 2019,94.0,26.3,0.0
Sun Mar  3 19:14:16 2019,94.0,26.3,0.0
Sun Mar  3 19:14:16 2019,94.0,26.3,0.0
Sun Mar  3 19:14:17 2019,94.0,26.2,0.0
Sun Mar  3 19:14:18 2019,94.0,26.3,0.0
